_id,name,card_class,hero_name,hero_id,series_name,card_number,effect_text,flavor_text,illustrator,picture_url,file_name,card_type[0],reactions[0],reactions[1],reactions[2],card_tags[0],card_tags[1],enthusiasm,second_effect_text,created_on.year,created_on.month,created_on.day,created_on.time,created_on.full_time,updated_on.year,updated_on.month,updated_on.day,updated_on.time,updated_on.full_time,alpha,beta,extra_effects[0],extra_effects[1],extra_effects[2]
6407a2c0c503d0c6f5a33235,PantheraMan,Staunch,PantheraMan,PM1,PantheraMan//Nature//Brawler,1001,"If you are first to go this round or you have the highest Enthusiasm, resolve 1 of the following effects://● Deal 2 piercing damage to a foe.//● Heal 1 HP and draw 1 Pluck.",string,XIOLI,https://compressedplaymakercards.s3.us-west-1.amazonaws.com/i1g1pmf.jpg,i1g1pmf,1001,1003,,,1001,1007,0,,2023,6,25,18:44,2023-06-25T18:44:06.985000,2024,1,29,02:46,2024-01-29T02:46:06.180Z,,,,,
6407a305c503d0c6f5a33236,Flamebell,Staunch,Flamebell,FB1,Flamebell//Magic//Support//Quest,1013,"Heal 2 HP, then all foes with a Power card(s) in their String and their Fighters take 1 damage.",string,XIOLI,https://compressedplaymakercards.s3.us-west-1.amazonaws.com/i1g4fbf.jpg,i1g4fbf,1001,1002,1003,,1001,1007,0,"<Trigger> During the Start Phase or when this card is revealed, all foes' Power cards gain damage minus 1 this round.",2023,6,25,18:44,2023-06-25T18:44:06.985000,2024,1,29,02:48,2024-01-29T02:48:17.209Z,,,1001,,
6407a351c503d0c6f5a33237,Swift Guard!!,Staunch,Golden Wall,GW1,Golden Wall//Cosmic//Support,1007,<Target> Foe on your left or right.//<1-5> No effect.//<6-11> Deal 2 damage. That foe's Move and Ending gain damage minus 1 this turn.//<12+> Deal 3 damage. Damage you and your Fighter take this turn is reduced by 1.,string,Eric Rodrigues,https://compressedplaymakercards.s3.us-west-1.amazonaws.com/i1g2gwm.jpg,i1g2gwm,1003,,,,1001,1002,0,"<Trigger> If you are targeted for damage, Focus plus 2, then resolve this card's main effect.",2023,6,25,18:44,2023-06-25T18:44:06.985000,2024,2,1,01:04,2024-02-01T01:04:13.279Z,,,1001,,
6407ad1b5139f66679d6ac55,Formation of the Golden Wall!,Staunch,Golden Wall,GW1,Golden Wall//Cosmic//Support//Transformation,1006,Heal 2 HP.,string,Eric Rodrigues,https://compressedplaymakercards.s3.us-west-1.amazonaws.com/i1g2gwa.jpg,i1g2gwa,1002,,,,1001,1007,0,"<Trigger> If you are targeted for damage, your Fighter gains Block 1 (that card is revealed).",2023,6,25,18:44,2023-06-25T18:44:06.985000,2024,1,29,03:13,2024-01-29T03:13:33.406Z,,,1001,,
6407d2c3a777df7381b6d87a,Battle Girl Alice,Power,Battle Girl Alice,BGA,Battle Girl Alice//Magic//Brawler,1029,Provoke 1 Ending (1 select foe must resolve their Ending this round with you as one of the applicable targets).,string,mo.moan,https://compressedplaymakercards.s3.us-west-1.amazonaws.com/i1r4bgaf.jpg,i1r4bgaf,1001,1002,1003,1002,1001,1007,0,"<Trigger> If you defend with this card, Counter damage this card deals is treated as bypassing damage (once only).",2023,6,25,18:44,2023-06-25T18:44:06.985000,2024,1,29,02:58,2024-01-29T02:58:17.729Z,,,1001,,
640935736b4d5881ee5633dc,Golden Wall,Staunch,Golden Wall,GW1,Golden Wall//Cosmic//Support,1005,"<Trigger> During the Start Phase or when this card is revealed, draw 1 card and this card heals 2 HP.",string,Eric Rodrigues,https://compressedplaymakercards.s3.us-west-1.amazonaws.com/i1g2gwf.jpg,i1g2gwf,1001,1001,,,1001,1007,0,<Critical> You can 1 damage to a random foe each time you resolve a Staunch card or defend with this card this round.,2023,6,25,18:44,2023-06-25T18:44:06.985000,2024,1,29,03:13,2024-01-29T03:13:20.966Z,,,1001,1002,
640935786b4d5881ee5633dd,Gold Frag,,string,GW1,Golden Wall//Cosmic//Support,1070,"<L. Trigger> When this Item is played or a Fighter(s) in your String is revealed, 1 Fighter in your String heals 1 HP (that card is revealed).",string,Eric Rodrigues,https://compressedplaymakercards.s3.us-west-1.amazonaws.com/i1pl02gwi.jpg,i1pl02gwi,1006,,,,1004,1006,0,"<C. Trigger> If you resolve the Trigger effect of a Staunch card in your String, deal 2 damage to a random foe.",2023,6,25,18:44,2023-06-25T18:44:06.985000,2024,1,18,00:13,2024-01-18T00:13:12.658Z,,,1001,1003,1002
6409357e6b4d5881ee5633de,Double Wall Blowback!!!,Staunch,Golden Wall,GW1,Golden Wall//Cosmic//Support,1008,"<Target> Foes on your left and right.//<1-5> Deal 3 damage.//<6-11> Deal 3 damage and if either target has a defending Fighter, deal 1 bypassing damage to both targets.//<12+> Deal 3 damage and if either target has a defending Fighter, both targets take 1 damage.",string,Eric Rodrigues,https://compressedplaymakercards.s3.us-west-1.amazonaws.com/i1g2gwe.jpg,i1g2gwe,1004,,,,1001,1002,7,"<Trigger> If this card is discarded from your hand or String, your Fighter heals 2 HP (that card is revealed).",2023,6,25,18:44,2023-06-25T18:44:06.985000,2024,2,1,01:05,2024-02-01T01:05:46.699Z,,,1001,,
640935836b4d5881ee5633df,New Foundation,,string,GW1,Golden Wall//Cosmic//Support,1072,"<Trigger> If you resolve a Trigger effect, heal 1 HP.",string,Eric Rodrigues,https://compressedplaymakercards.s3.us-west-1.amazonaws.com/i1cb2gw.jpg,i1cb2gw,1008,,,,1000,,0,<Critical> Heal 2 HP.,2023,6,25,18:44,2023-06-25T18:44:06.985000,2024,1,18,00:07,2024-01-18T00:07:57.624Z,,,1001,1002,
640b9f828e4a61dcf4e46dc3,Trance State!,Power,,BE1,Burst Esper//Psychic//Energy,1026,"Discard up to 3 cards from your hand, then Focus plus 1 for each card discarded. If you discarded 3 cards, resolve 1 of those discarded cards from your discard pile.",string,mo.moan,https://compressedplaymakercards.s3.us-west-1.amazonaws.com/i1r3bea.jpg,i1r3bea,1002,,,,1001,1007,0,"<Trigger> If this card is discarded from your hand or String, deal 2 damage to a random foe.",2023,6,25,18:44,2023-06-25T18:44:06.985000,2024,1,29,02:57,2024-01-29T02:57:53.288Z,,,1001,,
